Query Name,ResultDir,exit_status,macrobase.analysis.transformType,macrobase.loader.loaderType,macrobase.analysis.contextual.denseContextTau,macrobase.analysis.contextual.pruning.triviality,macrobase.analysis.contextual.pruning.contextContainedInOutliers,macrobase.analysis.contextual.pruning.mad.noOutliers,macrobase.analysis.contextual.pruning.mad.containedOutliers,timeTotal,timeBuildLattice,timeDetectContextualOutliers,timeMADNoOutliersContainedOutliersPruned,numDensityPruning,numTrivialityPruning,numContextContainedInOutliersPruning,numContextsGenerated,numMadNoOutliers,numMadContainedOutliers,numContextsGeneratedWithMaximalOutliers,precision,recall,precisionRelaxed,recallRelaxed
campaign_expenditures100000,/home/x4chu/ContextualOutliers/macrobase/bench/contextual/workflows/campaign_expenditures100000/10-12-09:07:50,Completed,MAD,POSTGRES_LOADER,0.01,True,True,True,True,6959,2864,3972,75,3193,764,45,7628,2483,4901,244,,,,
campaign_expenditures100000,/home/x4chu/ContextualOutliers/macrobase/bench/contextual/workflows/campaign_expenditures100000/10-12-09:08:21,Completed,MAD,POSTGRES_LOADER,0.01,True,False,True,True,7504,1776,5619,108,3235,802,0,8531,3386,4901,244,,,,
campaign_expenditures100000,/home/x4chu/ContextualOutliers/macrobase/bench/contextual/workflows/campaign_expenditures100000/10-12-09:08:52,Completed,MAD,POSTGRES_LOADER,0.01,False,True,True,True,48716,18159,30312,935,3193,0,61,160966,45364,115358,244,,,,
campaign_expenditures100000,/home/x4chu/ContextualOutliers/macrobase/bench/contextual/workflows/campaign_expenditures100000/10-12-09:10:05,Completed,MAD,POSTGRES_LOADER,0.01,False,False,True,True,44639,16867,27463,897,3235,0,0,171552,55904,115358,244,,,,
campaign_expenditures100000,/home/x4chu/ContextualOutliers/macrobase/bench/contextual/workflows/campaign_expenditures100000/10-12-09:11:12,Completed,MAD,POSTGRES_LOADER,0.01,True,True,False,True,6495,2706,3678,61,3193,764,45,7628,0,7380,244,,,,
campaign_expenditures100000,/home/x4chu/ContextualOutliers/macrobase/bench/contextual/workflows/campaign_expenditures100000/10-12-09:11:42,Completed,MAD,POSTGRES_LOADER,0.01,True,False,False,True,8113,1754,6234,127,3235,802,0,8531,0,7380,244,,,,
campaign_expenditures100000,/home/x4chu/ContextualOutliers/macrobase/bench/contextual/workflows/campaign_expenditures100000/10-12-09:12:14,Completed,MAD,POSTGRES_LOADER,0.01,False,True,False,True,43951,16577,27103,668,3193,0,61,160966,0,160718,244,,,,
campaign_expenditures100000,/home/x4chu/ContextualOutliers/macrobase/bench/contextual/workflows/campaign_expenditures100000/10-12-09:13:21,Completed,MAD,POSTGRES_LOADER,0.01,False,False,False,True,51161,17457,33464,906,3235,0,0,171552,0,160718,244,,,,
campaign_expenditures100000,/home/x4chu/ContextualOutliers/macrobase/bench/contextual/workflows/campaign_expenditures100000/10-12-09:14:38,Completed,MAD,POSTGRES_LOADER,0.01,True,True,True,False,23415,1838,21444,53,3193,764,45,7628,2483,0,244,,,,
campaign_expenditures100000,/home/x4chu/ContextualOutliers/macrobase/bench/contextual/workflows/campaign_expenditures100000/10-12-09:15:25,Completed,MAD,POSTGRES_LOADER,0.01,True,False,True,False,25204,1663,23428,66,3235,802,0,8531,3386,0,244,,,,
campaign_expenditures100000,/home/x4chu/ContextualOutliers/macrobase/bench/contextual/workflows/campaign_expenditures100000/10-12-09:16:14,Completed,MAD,POSTGRES_LOADER,0.01,False,True,True,False,199553,15740,183369,593,3193,0,61,160966,45364,0,244,,,,
campaign_expenditures100000,/home/x4chu/ContextualOutliers/macrobase/bench/contextual/workflows/campaign_expenditures100000/10-12-09:19:59,Completed,MAD,POSTGRES_LOADER,0.01,False,False,True,False,211245,16741,194173,579,3235,0,0,171552,55904,0,244,,,,
campaign_expenditures100000,/home/x4chu/ContextualOutliers/macrobase/bench/contextual/workflows/campaign_expenditures100000/10-12-09:23:56,Completed,MAD,POSTGRES_LOADER,0.01,True,True,False,False,26810,2683,23999,0,3193,764,45,7628,0,0,244,,,,
campaign_expenditures100000,/home/x4chu/ContextualOutliers/macrobase/bench/contextual/workflows/campaign_expenditures100000/10-12-09:24:46,Completed,MAD,POSTGRES_LOADER,0.01,True,False,False,False,31023,1782,28976,0,3235,802,0,8531,0,0,244,,,,
campaign_expenditures100000,/home/x4chu/ContextualOutliers/macrobase/bench/contextual/workflows/campaign_expenditures100000/10-12-09:25:41,Completed,MAD,POSTGRES_LOADER,0.01,False,True,False,False,242644,18941,223336,0,3193,0,61,160966,0,0,244,,,,
campaign_expenditures100000,/home/x4chu/ContextualOutliers/macrobase/bench/contextual/workflows/campaign_expenditures100000/10-12-09:30:08,Completed,MAD,POSTGRES_LOADER,0.01,False,False,False,False,250779,13789,236485,0,3235,0,0,171552,0,0,244,,,,
