train_old, 10000, 7317
train_iqr, 10000, 2225
train, 10000, 3247
train_iqr_old, 10000, 4414
train_old, 25000, 8368
train_iqr, 25000, 2574
train, 25000, 3795
train_iqr_old, 25000, 4615
train_old, 50000, 8728
train_iqr, 50000, 2801
train, 50000, 3877
train_iqr_old, 50000, 5139
train_old, 100000, 9330
train_iqr, 100000, 2732
train, 100000, 3923
train_iqr_old, 100000, 5047
train_old, 250000, 10256
train_iqr, 250000, 2621
train, 250000, 3813
train_iqr_old, 250000, 5222
train_old, 500000, 10982
train_iqr, 500000, 2774
train, 500000, 3998
train_iqr_old, 500000, 5440
train_old, 1000000, 11616
train_iqr, 1000000, 2906
train, 1000000, 4220
train_iqr_old, 1000000, 5872
train_old, 2500000, 11994
train_iqr, 2500000, 2646
train, 2500000, 4985
train_iqr_old, 2500000, 6509
train_old, 5000000, 12568
train_iqr, 5000000, 2727
train, 5000000, 3935
train_iqr_old, 5000000, 5667
train_old, 10000000, 12994
train_iqr, 10000000, 2778
train, 10000000, 3754
train_iqr_old, 10000000, 5557
